FinInstrmIdLeg1,FinInstrmIdLeg2,Spread Token Created by Us,Security Symbol Created by Us,Security Symbol Name Created by Us,FinInstrmNmLeg1,TckrSymb1,SrsId1,XpryDt1,Converted Expiry1 Date,Month Extrated from Date1,StrkPricLeg1,OptnTpLeg1,OffclCorpActnEvtId1,FinInstrmNmLeg2,TckrSymb2,SrsId2,XpryDt2,Converted Expiry2 Date,Month Extrated from Date2,StrkPricLeg2,OptnTpLeg2,NewBrdLotQty1,MinLot1,BidIntrvl1,NewBrdLotQty2,MinLot2,BidIntrvl2,Elgblty,DelFlg,OffclCorpActnEvtId2,RefPric,DayLwPricDiffRg,DayHghPricDiffRg,OpngLowPricDiffRg,OpngHghPricDiffRg,UndrlygInstrm,Rsvd,UndrlygFinInstrmId,PartnIdr,DcmlstnPric,UnqPdctIdr,SrsId,StrtgyId,NbOfLegsInStrtgy,Mltplr,FinInstrmId,AsstTp,TckrSymb,FinInstrmTp,XpryDt,FinInstrmNm,StrkPric,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Rsvd06,Rsvd07,Rsvd08,Rsvd09,Rsvd10
53225,64110,1411053225,ADANIGREEN-1,SP-ADANIGREEN-JUL-AUG,FUTSTK,ADANIGREEN,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ADANIGREEN,XX,1440858600,8/28/2025,AUG,-1,XX,600,600,10,600,600,10,1,N,0,102980,-2580,2580,-2580,2580,,,,,,,,,,,,,,,,,,,,,,,,,,,
53226,64111,1411153226,ADANIPORTS-1,SP-ADANIPORTS-JUL-AUG,FUTSTK,ADANIPORTS,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ADANIPORTS,XX,1440858600,8/28/2025,AUG,-1,XX,475,475,10,475,475,10,1,N,0,148070,-3710,3710,-3710,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,
53227,64112,1411253227,ALKEM-1,SP-ALKEM-JUL-AUG,FUTSTK,ALKEM,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ALKEM,XX,1440858600,8/28/2025,AUG,-1,XX,125,125,50,125,125,50,1,N,0,490400,-12300,12300,-12300,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,
53235,64113,1411353235,AMBUJACEM-1,SP-AMBUJACEM-JUL-AUG,FUTSTK,AMBUJACEM,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,AMBUJACEM,XX,1440858600,8/28/2025,AUG,-1,XX,1050,1050,5,1050,1050,5,1,N,0,56015,-1400,1400,-1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,
53236,64114,1411453236,ANGELONE-1,SP-ANGELONE-JUL-AUG,FUTSTK,ANGELONE,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ANGELONE,XX,1440858600,8/28/2025,AUG,-1,XX,250,250,10,250,250,10,1,N,0,322500,-8070,8070,-8070,8070,,,,,,,,,,,,,,,,,,,,,,,,,,,
56809,53240,1324056809,APLAPOLLO-1,SP-APLAPOLLO-JUN-JUL,FUTSTK,APLAPOLLO,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,APLAPOLLO,XX,1438439400,7/31/2025,JUL,-1,XX,350,350,10,350,350,10,1,N,0,192520,-4820,4820,-4820,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,
53240,64115,1411553240,APLAPOLLO-2,SP-APLAPOLLO-JUL-AUG,FUTSTK,APLAPOLLO,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,APLAPOLLO,XX,1440858600,8/28/2025,AUG,-1,XX,350,350,10,350,350,10,1,N,0,193260,-4840,4840,-4840,4840,,,,,,,,,,,,,,,,,,,,,,,,,,,
56810,53241,1324156810,APOLLOHOSP-1,SP-APOLLOHOSP-JUN-JUL,FUTSTK,APOLLOHOSP,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,APOLLOHOSP,XX,1438439400,7/31/2025,JUL,-1,XX,125,125,50,125,125,50,1,N,0,696000,-17400,17400,-17400,17400,,,,,,,,,,,,,,,,,,,,,,,,,,,
53241,64116,1411653241,APOLLOHOSP-2,SP-APOLLOHOSP-JUL-AUG,FUTSTK,APOLLOHOSP,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,APOLLOHOSP,XX,1440858600,8/28/2025,AUG,-1,XX,125,125,50,125,125,50,1,N,0,700700,-17550,17550,-17550,17550,,,,,,,,,,,,,,,,,,,,,,,,,,,
56811,53244,1324456811,ASHOKLEY-1,SP-ASHOKLEY-JUN-JUL,FUTSTK,ASHOKLEY,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,ASHOKLEY,XX,1438439400,7/31/2025,JUL,-1,XX,2500,2500,1,2500,2500,1,1,N,0,24341,-608,608,-608,608,,,,,,,,,,,,,,,,,,,,,,,,,,,
53244,64117,1411753244,ASHOKLEY-2,SP-ASHOKLEY-JUL-AUG,FUTSTK,ASHOKLEY,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ASHOKLEY,XX,1440858600,8/28/2025,AUG,-1,XX,2500,2500,1,2500,2500,1,1,N,0,24416,-610,610,-610,610,,,,,,,,,,,,,,,,,,,,,,,,,,,
53245,64118,1411853245,ASIANPAINT-1,SP-ASIANPAINT-JUL-AUG,FUTSTK,ASIANPAINT,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ASIANPAINT,XX,1440858600,8/28/2025,AUG,-1,XX,250,250,10,250,250,10,1,N,0,225120,-5630,5630,-5630,5630,,,,,,,,,,,,,,,,,,,,,,,,,,,
